leg_group_id,from_area_id,to_area_id,network_id,fare_product_id,from_timeframe_group_id,to_timeframe_group_id,rule_priority,transfer_only
CT,CT:zone3,CT:zone1,CT,CT:multizone:6:1-day,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:2:1-day,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:2:1-month,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:3:1-day,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:3:1-month,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:4:1-month,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:4:1-day,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:5:1-day,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:5:1-month,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:6:1-day,,,,
CT,CT:zone3,CT:zone2,CT,CT:multizone:6:1-month,,,,
CT,CT:zone3,CT:zone3,CT,CT:1zone:1-day,,,,
CT,CT:zone3,CT:zone3,CT,CT:1zone:1-month,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:2:1-month,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:6:1-day,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:2:1-day,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:6:1-month,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:5:1-month,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:4:1-month,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:3:1-month,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:4:1-day,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:5:1-day,,,,
CT,CT:zone3,CT:zone3,CT,CT:multizone:3:1-day,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:2:1-day,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:2:1-month,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:3:1-day,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:3:1-month,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:4:1-month,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:4:1-day,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:5:1-day,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:5:1-month,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:6:1-month,,,,
CT,CT:zone3,CT:zone4,CT,CT:multizone:6:1-day,,,,
CT,CT:zone3,CT:zone5,CT,CT:multizone:3:1-month,,,,
CT,CT:zone3,CT:zone5,CT,CT:multizone:3:1-day,,,,
CT,CT:zone3,CT:zone5,CT,CT:multizone:4:1-day,,,,
CT,CT:zone3,CT:zone5,CT,CT:multizone:4:1-month,,,,
CT,CT:zone3,CT:zone5,CT,CT:multizone:5:1-day,,,,
CT,CT:zone3,CT:zone5,CT,CT:multizone:5:1-month,,,,
CT,CT:zone3,CT:zone5,CT,CT:multizone:6:1-day,,,,
CT,CT:zone3,CT:zone5,CT,CT:multizone:6:1-month,,,,
CT,CT:zone3,CT:zone6,CT,CT:multizone:4:1-day,,,,
CT,CT:zone3,CT:zone6,CT,CT:multizone:4:1-month,,,,
CT,CT:zone3,CT:zone6,CT,CT:multizone:5:1-month,,,,
CT,CT:zone3,CT:zone6,CT,CT:multizone:5:1-day,,,,
CT,CT:zone3,CT:zone6,CT,CT:multizone:6:1-month,,,,
CT,CT:zone3,CT:zone6,CT,CT:multizone:6:1-day,,,,
CT,CT:zone4,CT:zone1,CT,CT:multizone:4:1-month,,,,
CT,CT:zone4,CT:zone1,CT,CT:multizone:4:1-day,,,,
CT,CT:zone4,CT:zone1,CT,CT:multizone:5:1-day,,,,
CT,CT:zone4,CT:zone1,CT,CT:multizone:5:1-month,,,,
CT,CT:zone4,CT:zone1,CT,CT:multizone:6:1-day,,,,
CT,CT:zone4,CT:zone1,CT,CT:multizone:6:1-month,,,,
CT,CT:zone4,CT:zone2,CT,CT:multizone:3:1-day,,,,
CT,CT:zone4,CT:zone2,CT,CT:multizone:3:1-month,,,,
CT,CT:zone4,CT:zone2,CT,CT:multizone:4:1-month,,,,
CT,CT:zone4,CT:zone2,CT,CT:multizone:4:1-day,,,,
CT,CT:zone4,CT:zone2,CT,CT:multizone:5:1-month,,,,
CT,CT:zone4,CT:zone2,CT,CT:multizone:5:1-day,,,,
CT,CT:zone4,CT:zone2,CT,CT:multizone:6:1-day,,,,
CT,CT:zone4,CT:zone2,CT,CT:multizone:6:1-month,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:2:1-day,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:2:1-month,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:3:1-day,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:3:1-month,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:4:1-month,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:4:1-day,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:5:1-day,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:5:1-month,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:6:1-month,,,,
CT,CT:zone4,CT:zone3,CT,CT:multizone:6:1-day,,,,
CT,CT:zone4,CT:zone4,CT,CT:1zone:1-day,,,,
CT,CT:zone4,CT:zone4,CT,CT:1zone:1-month,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:3:1-day,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:2:1-day,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:4:1-month,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:5:1-day,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:6:1-day,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:3:1-month,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:5:1-month,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:4:1-day,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:2:1-month,,,,
CT,CT:zone4,CT:zone4,CT,CT:multizone:6:1-month,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:2:1-month,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:2:1-day,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:3:1-month,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:3:1-day,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:4:1-month,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:4:1-day,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:5:1-day,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:5:1-month,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:6:1-month,,,,
CT,CT:zone4,CT:zone5,CT,CT:multizone:6:1-day,,,,
CT,CT:zone4,CT:zone6,CT,CT:multizone:3:1-day,,,,
CT,CT:zone4,CT:zone6,CT,CT:multizone:3:1-month,,,,
CT,CT:zone4,CT:zone6,CT,CT:multizone:4:1-day,,,,
CT,CT:zone4,CT:zone6,CT,CT:multizone:4:1-month,,,,
CT,CT:zone4,CT:zone6,CT,CT:multizone:5:1-month,,,,
CT,CT:zone4,CT:zone6,CT,CT:multizone:5:1-day,,,,
CT,CT:zone4,CT:zone6,CT,CT:multizone:6:1-day,,,,
CT,CT:zone4,CT:zone6,CT,CT:multizone:6:1-month,,,,
CT,CT:zone5,CT:zone1,CT,CT:multizone:5:1-day,,,,
CT,CT:zone5,CT:zone1,CT,CT:multizone:5:1-month,,,,
CT,CT:zone5,CT:zone1,CT,CT:multizone:6:1-month,,,,
CT,CT:zone5,CT:zone1,CT,CT:multizone:6:1-day,,,,
CT,CT:zone5,CT:zone2,CT,CT:multizone:4:1-month,,,,
CT,CT:zone5,CT:zone2,CT,CT:multizone:4:1-day,,,,
CT,CT:zone5,CT:zone2,CT,CT:multizone:5:1-day,,,,
CT,CT:zone5,CT:zone2,CT,CT:multizone:5:1-month,,,,
CT,CT:zone5,CT:zone2,CT,CT:multizone:6:1-month,,,,
CT,CT:zone5,CT:zone2,CT,CT:multizone:6:1-day,,,,
CT,CT:zone5,CT:zone3,CT,CT:multizone:3:1-day,,,,
CT,CT:zone5,CT:zone3,CT,CT:multizone:3:1-month,,,,
CT,CT:zone5,CT:zone3,CT,CT:multizone:4:1-month,,,,
CT,CT:zone5,CT:zone3,CT,CT:multizone:4:1-day,,,,
CT,CT:zone5,CT:zone3,CT,CT:multizone:5:1-month,,,,
CT,CT:zone5,CT:zone3,CT,CT:multizone:5:1-day,,,,
CT,CT:zone5,CT:zone3,CT,CT:multizone:6:1-month,,,,
CT,CT:zone5,CT:zone3,CT,CT:multizone:6:1-day,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:2:1-day,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:2:1-month,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:3:1-day,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:3:1-month,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:4:1-month,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:4:1-day,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:5:1-day,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:5:1-month,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:6:1-month,,,,
CT,CT:zone5,CT:zone4,CT,CT:multizone:6:1-day,,,,
CT,CT:zone5,CT:zone5,CT,CT:1zone:1-month,,,,
CT,CT:zone5,CT:zone5,CT,CT:1zone:1-day,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:3:1-month,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:6:1-day,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:5:1-day,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:3:1-day,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:6:1-month,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:5:1-month,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:2:1-month,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:4:1-month,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:4:1-day,,,,
CT,CT:zone5,CT:zone5,CT,CT:multizone:2:1-day,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:2:1-day,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:2:1-month,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:3:1-day,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:3:1-month,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:4:1-month,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:4:1-day,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:5:1-month,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:5:1-day,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:6:1-day,,,,
CT,CT:zone5,CT:zone6,CT,CT:multizone:6:1-month,,,,
CT,CT:zone6,CT:zone1,CT,CT:multizone:6:1-day,,,,
CT,CT:zone6,CT:zone1,CT,CT:multizone:6:1-month,,,,
CT,CT:zone6,CT:zone2,CT,CT:multizone:5:1-month,,,,
CT,CT:zone6,CT:zone2,CT,CT:multizone:5:1-day,,,,
CT,CT:zone6,CT:zone2,CT,CT:multizone:6:1-month,,,,
CT,CT:zone6,CT:zone2,CT,CT:multizone:6:1-day,,,,
CT,CT:zone6,CT:zone3,CT,CT:multizone:4:1-day,,,,
CT,CT:zone6,CT:zone3,CT,CT:multizone:4:1-month,,,,
CT,CT:zone6,CT:zone3,CT,CT:multizone:5:1-day,,,,
CT,CT:zone6,CT:zone3,CT,CT:multizone:5:1-month,,,,
CT,CT:zone6,CT:zone3,CT,CT:multizone:6:1-month,,,,
CT,CT:zone6,CT:zone3,CT,CT:multizone:6:1-day,,,,
CT,CT:zone6,CT:zone4,CT,CT:multizone:3:1-month,,,,
CT,CT:zone6,CT:zone4,CT,CT:multizone:3:1-day,,,,
CT,CT:zone6,CT:zone4,CT,CT:multizone:4:1-day,,,,
CT,CT:zone6,CT:zone4,CT,CT:multizone:4:1-month,,,,
CT,CT:zone6,CT:zone4,CT,CT:multizone:5:1-month,,,,
CT,CT:zone6,CT:zone4,CT,CT:multizone:5:1-day,,,,
CT,CT:zone6,CT:zone4,CT,CT:multizone:6:1-month,,,,
CT,CT:zone6,CT:zone4,CT,CT:multizone:6:1-day,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:2:1-month,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:2:1-day,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:3:1-month,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:3:1-day,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:4:1-day,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:4:1-month,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:5:1-day,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:5:1-month,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:6:1-day,,,,
CT,CT:zone6,CT:zone5,CT,CT:multizone:6:1-month,,,,
CT,CT:zone6,CT:zone6,CT,CT:1zone:1-day,,,,
CT,CT:zone6,CT:zone6,CT,CT:1zone:1-month,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:2:1-month,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:3:1-month,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:6:1-month,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:6:1-day,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:4:1-month,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:3:1-day,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:5:1-day,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:2:1-day,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:5:1-month,,,,
CT,CT:zone6,CT:zone6,CT,CT:multizone:4:1-day,,,,
DE,DE:local,DE:local,DE,DE:local:31-day,,,,
DE,DE:local,DE:local,DE,DE:local:single,,,,
DE,DE:local,DE:local,DE,AC:local:31-day,,,,
DE,DE:local,DE:local,DE,AC:transbay:31-day,,,,
DE,DE:local,DE:local,DE,AC:local:1-month,,,,
DE,DE:local,DE:local,DE,DE:transbay:31-day,,,,
DE,DE:local,DE:local,DE,DE:transbay:single,,,,
DE,DE:transbay,DE:transbay,DE,DE:local:single,,,,
DE,DE:transbay,DE:transbay,DE,DE:local:31-day,,,,
DE,DE:transbay,DE:transbay,DE,AC:local:31-day,,,,
DE,DE:transbay,DE:transbay,DE,AC:transbay:31-day,,,,
DE,DE:transbay,DE:transbay,DE,AC:local:1-month,,,,
DE,DE:transbay,DE:transbay,DE,DE:transbay:single,,,,
DE,DE:transbay,DE:transbay,DE,DE:transbay:31-day,,,,
DE:transbay,DE:local,DE:transbay,DE,DE:transbay:single,,,,
DE:transbay,DE:local,DE:transbay,DE,DE:transbay:31-day,,,,
DE:transbay,DE:local,DE:transbay,DE,AC:transbay:31-day,,,,
DE:transbay,DE:transbay,DE:local,DE,DE:transbay:single,,,,
DE:transbay,DE:transbay,DE:local,DE,DE:transbay:31-day,,,,
DE:transbay,DE:transbay,DE:local,DE,AC:transbay:31-day,,,,
EE,any,any,EE,free,,,,
EM,any,any,EM,free,,,,
FS,any,any,FS,FS:local:single,,,,
FS,any,any,FS,FS:local:31-day,,,,
GF,any,any,GF:LSSF,GF:LSSF:single,,,,
GF,any,any,GF:TBSF,GF:TBSF:single,,,,
GF,any,any,GF:SSSF,GF:SSSF:single,,,,
GF,any,any,GF:AISF,GF:AISF:single,,,,
GP,any,any,GP,free,,,,
MA,any,any,MA,MA:local:31-day,,,,
MA,any,any,MA,MA:local:1-day,,,,
MA,any,any,MA,MA:local:single,,,,
MB,any,any,MB,free,,,,
MV,any,any,MV,free,,,,
PE,any,any,PE,free,,,,
RV,RV:local,RV:local,RV,RV:local:single,,,,
RV,RV:local,RV:local,RV,RV:all:1-month,,,,
RV,any,any,RV,RV:express:single,,,,
RV,any,any,RV,RV:all:1-month,,,,
SA,any,any,SA,SA:all:1-day,,,,
SA,any,any,SA,SA:all:31-day,,,,
SB,any,any,SB:OA,SB:OA:single,,,,
SB,any,any,SB:HB,SB:HB:single,,,,
SB,any,any,SB:SSF,SB:SSF:single,,,,
SB,any,any,SB:VJO,SB:VJO:single,,,,
SB,any,any,SB:RCH,SB:RCH:single,,,,
SB,any,any,SB:SEA,SB:SEA:single,,,,
SC,any,any,SC,SC:local:1-year,,,,
SC,any,any,SC,SC:local:single,,,,
SC,any,any,SC,SC:local:1-day,,,,
SC,any,any,SC,SC:local:1-month,,,,
SC,any,any,SC,CT:multizone:5:1-month,,,,
SC,any,any,SC,CT:multizone:4:1-month,,,,
SC,any,any,SC,CT:multizone:2:1-day,,,,
SC,any,any,SC,CT:multizone:6:1-month,,,,
SC,any,any,SC,CT:multizone:5:1-day,,,,
SC,any,any,SC,CT:multizone:3:1-day,,,,
SC,any,any,SC,CT:multizone:3:1-month,,,,
SC,any,any,SC,CT:multizone:6:1-day,,,,
SC,any,any,SC,CT:multizone:4:1-day,,,,
SC,any,any,SC,CT:multizone:2:1-month,,,,
SC,any,any,SC:airport,SC:local:single,,,,
SC,any,any,SC:airport,SC:local:1-month,,,,
SC,any,any,SC:airport,SC:local:1-year,,,,
SC,any,any,SC:airport,SC:local:1-day,,,,
SC,any,any,SC:airport,CT:multizone:3:1-month,,,,
SC,any,any,SC:airport,CT:multizone:6:1-month,,,,
SC,any,any,SC:airport,CT:multizone:2:1-day,,,,
SC,any,any,SC:airport,CT:multizone:5:1-month,,,,
SC,any,any,SC:airport,CT:multizone:5:1-day,,,,
SC,any,any,SC:airport,CT:multizone:4:1-month,,,,
SC,any,any,SC:airport,CT:multizone:6:1-day,,,,
SC,any,any,SC:airport,CT:multizone:4:1-day,,,,
SC,any,any,SC:airport,CT:multizone:3:1-day,,,,
SC,any,any,SC:airport,CT:multizone:2:1-month,,,,
SC:express,any,any,SC:express,SC:express:single,,,,
SF,any,any,SF,SF:local:single,,,,
