fare_product_id,fare_product_name,amount,currency,duration_start,duration_amount,duration_unit,duration_type,rider_category_id,fare_media_id
AM:matrix:AM:FMT-AM:RIC,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:RLN,generated,39.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:RSV,generated,39.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:SAC,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:SCC,generated,9.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:SJC,generated,10.00,USD,,,,,adult,cash
AM:matrix:AM:FMT-AM:SUI,generated,26.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:HAY,generated,10.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:MTZ,generated,24.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:OAC,generated,13.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:OKJ,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:RIC,generated,18.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:RLN,generated,43.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:RSV,generated,41.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:SAC,generated,36.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:SCC,generated,6.00,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:SJC,generated,8.50,USD,,,,,adult,cash
AM:matrix:AM:GAC-AM:SUI,generated,29.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:MTZ,generated,17.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:OAC,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:OKJ,generated,6.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:RIC,generated,11.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:RLN,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:RSV,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:SAC,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:SCC,generated,13.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:SJC,generated,14.00,USD,,,,,adult,cash
AM:matrix:AM:HAY-AM:SUI,generated,24.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:OAC,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:OKJ,generated,13.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:RIC,generated,9.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:RLN,generated,29.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:RSV,generated,27.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:SAC,generated,19.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:SCC,generated,25.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:SFC,generated,18.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:SJC,generated,27.00,USD,,,,,adult,cash
AM:matrix:AM:MTZ-AM:SUI,generated,8.00,USD,,,,,adult,cash
AM:matrix:AM:OAC-AM:OKJ,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:OAC-AM:RIC,generated,8.00,USD,,,,,adult,cash
AM:matrix:AM:OAC-AM:RLN,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:OAC-AM:RSV,generated,32.00,USD,,,,,adult,cash
AM:matrix:AM:OAC-AM:SAC,generated,29.00,USD,,,,,adult,cash
AM:matrix:AM:OAC-AM:SCC,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:OAC-AM:SJC,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:OAC-AM:SUI,generated,19.00,USD,,,,,adult,cash
AM:matrix:AM:OKJ-AM:RIC,generated,6.00,USD,,,,,adult,cash
AM:matrix:AM:OKJ-AM:RLN,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:OKJ-AM:RSV,generated,32.00,USD,,,,,adult,cash
AM:matrix:AM:OKJ-AM:SAC,generated,29.00,USD,,,,,adult,cash
AM:matrix:AM:OKJ-AM:SCC,generated,16.00,USD,,,,,adult,cash
AM:matrix:AM:OKJ-AM:SJC,generated,16.00,USD,,,,,adult,cash
AM:matrix:AM:OKJ-AM:SUI,generated,18.00,USD,,,,,adult,cash
AM:matrix:AM:RIC-AM:RLN,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:RIC-AM:RSV,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:RIC-AM:SAC,generated,27.00,USD,,,,,adult,cash
AM:matrix:AM:RIC-AM:SCC,generated,20.00,USD,,,,,adult,cash
AM:matrix:AM:RIC-AM:SFC,generated,11.00,USD,,,,,adult,cash
AM:matrix:AM:RIC-AM:SJC,generated,20.00,USD,,,,,adult,cash
AM:matrix:AM:RIC-AM:SUI,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:RLN-AM:RSV,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:RLN-AM:SAC,generated,10.00,USD,,,,,adult,cash
AM:matrix:AM:RLN-AM:SCC,generated,43.00,USD,,,,,adult,cash
AM:matrix:AM:RLN-AM:SFC,generated,38.00,USD,,,,,adult,cash
AM:matrix:AM:RLN-AM:SJC,generated,43.00,USD,,,,,adult,cash
AM:matrix:AM:RLN-AM:SUI,generated,24.00,USD,,,,,adult,cash
AM:matrix:AM:RSV-AM:SAC,generated,8.00,USD,,,,,adult,cash
AM:matrix:AM:RSV-AM:SCC,generated,42.00,USD,,,,,adult,cash
AM:matrix:AM:RSV-AM:SFC,generated,38.00,USD,,,,,adult,cash
AM:matrix:AM:RSV-AM:SJC,generated,43.00,USD,,,,,adult,cash
AM:matrix:AM:RSV-AM:SUI,generated,20.00,USD,,,,,adult,cash
AM:matrix:AM:SAC-AM:SCC,generated,37.00,USD,,,,,adult,cash
AM:matrix:AM:SAC-AM:SFC,generated,35.00,USD,,,,,adult,cash
AM:matrix:AM:SAC-AM:SJC,generated,40.00,USD,,,,,adult,cash
AM:matrix:AM:SAC-AM:SUI,generated,15.00,USD,,,,,adult,cash
AM:matrix:AM:SCC-AM:SJC,generated,5.00,USD,,,,,adult,cash
AM:matrix:AM:SCC-AM:SUI,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:SFC-AM:SUI,generated,24.00,USD,,,,,adult,cash
AM:matrix:AM:SJC-AM:SUI,generated,31.00,USD,,,,,adult,cash
AM:matrix:AM:ARN-AM:BRK,generated,29.75,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:DAV,generated,15.30,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:EMY,generated,29.75,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:FFV,generated,20.40,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:FMT,generated,36.55,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:GAC,generated,36.55,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:HAY,generated,33.15,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:MTZ,generated,26.35,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:OAC,generated,29.75,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:OKJ,generated,29.75,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:RIC,generated,29.75,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:RLN,generated,8.08,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:RSV,generated,9.35,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:SAC,generated,13.60,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:SCC,generated,36.55,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:SFC,generated,33.15,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:SJC,generated,36.55,USD,,,,,AM:discount,cash
AM:matrix:AM:ARN-AM:SUI,generated,22.10,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:DAV,generated,20.40,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:EMY,generated,6.38,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:FFV,generated,16.15,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:FMT,generated,12.75,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:GAC,generated,15.30,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:HAY,generated,10.20,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:MTZ,generated,11.05,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:OAC,generated,8.50,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:OKJ,generated,7.65,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:RIC,generated,7.65,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:RLN,generated,26.35,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:RSV,generated,26.35,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:SAC,generated,24.65,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:SCC,generated,16.15,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:SFC,generated,9.78,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:SJC,generated,16.15,USD,,,,,AM:discount,cash
AM:matrix:AM:BRK-AM:SUI,generated,15.30,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:EMY,generated,22.95,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:FFV,generated,11.05,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:FMT,generated,26.35,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:GAC,generated,28.05,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:HAY,generated,24.65,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:MTZ,generated,13.60,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:OAC,generated,22.95,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:OKJ,generated,22.95,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:RIC,generated,19.55,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:RLN,generated,13.60,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:RSV,generated,11.90,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:SAC,generated,7.65,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:SCC,generated,29.75,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:SFC,generated,26.35,USD,,,,,AM:discount,cash
AM:matrix:AM:DAV-AM:SJC,generated,29.75,USD,,,,,AM:discount,cash
